Human gene name	Gene name
	CT025630.2
GNG8	Gng8
TBC1D4	Tbc1d4
	Gm47954
	Gm7008
ITGA3	Itga3
	Gm34921
	Gm48089
IFRD1	Ifrd1
CYB5R1	Cyb5r1
NSL1	Nsl1
LEPROTL1	Leprotl1
	C4a
	Gm16349
OR4S2	Olfr1193
	Gm19569
	LOC102637012
DAW1	Daw1
EMC7	Emc7
OR4C16	Olfr1195
SNX10	Snx10
	Gm44893
	Ldha-ps2
	Gm45719
	Gm16477
	Olfr1196
CCDC30	Ccdc30
GLYAT	Glyat
	Gm16764
TOMM40L	Tomm40l
ZNF235	Zfp235
ABRAXAS2	Abraxas2
AMDHD1	Amdhd1
	Lce3a
	Gm14002
	Gm38188
	Gm43020
PSD	Psd
	Gm43699
	Gm43021
IFIT1B	Ifit1bl1
PRL	Prl7c1
BATF3	Batf3
	Olfr1468-ps1
	Rpl12-ps1
	Gm43361
IFIT3	Ifit3
	Gm45032
	Gm44849
ATP2A2	Atp2a2
FKBP10	Fkbp10
CEACAM5	Psg29
PSG9	Psg29
PSG2	Psg29
CEACAM8	Psg29
CEACAM6	Psg29
PSG11	Psg29
PSG7	Psg29
PSG1	Psg29
CEACAM1	Psg29
PSG5	Psg29
PSG8	Psg29
CEACAM7	Psg29
PSG3	Psg29
PSG6	Psg29
PSG4	Psg29
CEACAM3	Psg29
AC243967.1	Psg29
	Gm44123
POM121	Pom121
POM121C	Pom121
IQSEC1	Iqsec1
	Lce3b
	Gm21430
IFIT3	Ifit3b
FAM167A	Fam167a
	Gm45269
	D030045P18Rik
	Scgb1b24
OR5B3	Olfr1469
	Gm26513
	Olfr1470-ps1
GPC3	Gpc3
	Gm32772
PFKM	Pfkm
	Gm9397
	Gm42837
	Gm14560
	Gm47074
	Gm43023
	Gm43210
	Gm13450
C1QTNF7	C1qtnf7
CXADR	Cxadr
AC136352.3	Cxadr
COL25A1	Col25a1
	AC132878.5
	AC132878.4
SNCAIP	Sncaip
	AC118710.2
	Gm45386
	Gm32975
BNIP3	Bnip3
	Olfr1471
TBATA	Tbata
	Gm48858
ADAM9	Adam9
	Gm43022
	Gm15866
	Gm38161
	Gm12071
FAM71A	Fam71a
NT5C3B	Nt5c3b
GPR26	Gpr26
	Gm28811
	Gm28810
	Gm12070
	Gm20835
	Gm45127
KLK3	Klk1b22
KLK2	Klk1b22
KLK1	Klk1b22
	Gm14582
	A630012P03Rik
	Gm18258
	Gm45507
MYH9	Myh9
	Gm4587
	Gm45502
PSTK	Pstk
	Tdh
NSUN5	Nsun5
IFIT1B	Ifit1bl2
	Gm47316
	Gm45126
CYP4B1	Cyp4b1
CHM	Chm
HRASLS	Hrasls
	Gm33858
	AC117245.2
	Gm17024
	Gm47043
TRAPPC6A	Trappc6a
	Gm43211
	Gm15245
	Gm45137
	Gm44901
METTL9	Mettl9
	Gm45713
	9330171B17Rik
KIF7	Kif7
	Gm37561
	Gm15512
MANEAL	Maneal
	9530085L11Rik
	Zfp114
ARHGAP22	Arhgap22
	E330037G11Rik
	Gm20287
TMSB15A	Tmsb15b1
TMSB15B	Tmsb15b1
TMSB15B	Tmsb15b1
	Gm15718
RDH8	Rdh8
	Gm21013
	Gm44984
	Gm4609
FAM53B	Fam53b
	Gm44105
KLHL31	Klhl31
C1orf122	1110065P20Rik
	Ppp1r2-ps2
	Rpl21-ps12
TMSB15A	Tmsb15l
TMSB15B	Tmsb15l
TMSB15B	Tmsb15l
	Gm18134
	Slc25a54
	E330011O21Rik
SARAF	Saraf
	Vmn1r55
	Gm38078
LIN28A	Lin28a
MIF	Mif
	Psmb6-ps
	Gm17232
	Gm11917
	Vmn1r56
	Gm11916
	Gm47790
CYP2D6	Cyp2d34
CYP2D7	Cyp2d34
	Gm47789
	Gm11918
SENP1	Senp1
	Gm3611
	Vmn1r57
MARVELD3	Marveld3
	Gm11919
	Gm12782
TMSB15A	Tmsb15b2
TMSB15B	Tmsb15b2
TMSB15B	Tmsb15b2
IGSF6	Igsf6
ANGPTL6	Angptl6
GATA1	Gata1
	Lce3c
CHRM5	Chrm5
	Gpx4-ps2
IFIT1B	Ifit1
	Gm13061
	Gm35667
	F730043M19Rik
	Gm43218
	Gm18510
CYP27A1	Cyp27a1
	Gm47837
	4930503E24Rik
AC097637.1	Tlr9
TLR9	Tlr9
	Gnb1-ps3
	Gm36728
IGF1R	Igf1r
TAS2R3	Tas2r137
	AC158799.1
	Gm28646
	Gm47431
	Gm28613
	Gm47839
MTF1	Mtf1
	Gm35135
	Gm47840
	Gm19994
	Gm36719
C19orf66	A230050P20Rik
	Gm13449
SHC3	Shc3
	Gm28612
SLC16A12	Slc16a12
C5	Hc
	Duxbl3
SLC9A5	Slc9a5
KLHL10	Klhl10
MMP1	Mmp1b
	Gm40190
	Gm42836
	Zfp111
	Gm17494
	Klk1b23-ps
	Gm45122
	Gm45601
	Gm4610
	Gm39288
	Gm45146
	Gm28614
	Gm11874
	Ofcc1
	Lce3d
GCLM	Gclm
KIAA1217	Etl4
PRL	Prl2a1
LGALSL	Gm5065
	AC154239.3
	AC122275.1
NPTX2	Nptx2
	AC122275.2
CCDC84	Ccdc84
	Gm35188
	2210406H18Rik
	AC127697.2
TRPC4	Trpc4
ARHGAP5	Arhgap5
	Gm45147
	Gm9905
NLRP7	Nlrp2
NLRP2	Nlrp2
	AC127697.1
	AC121848.1
	Gm16267
	Gm15796
	AC124774.1
	Gm38216
	Gm7363
MFAP2	Mfap2
	8430436N08Rik
	Gm47918
	Gm37779
PRDM16	Prdm16
VWA3B	Vwa3b
ZBTB42	Zbtb42
	Gm47744
KLHL11	Klhl11
	Gm45602
YRDC	Yrdc
	Gm8077
	Gm12768
	Lce3e
RBM15	Rbm15
ZNF683	Zfp683
	Gm11923
RYR3	Ryr3
	Gm18578
	Gm34059
	Gm3972
DUT	Dut
	Gm11925
	Scgb2b25-ps
	Scgb1b25-ps
PQLC3	Pqlc3
	Gm8079
	Lce3f
PTPN5	Ptpn5
	Gm47562
	Gm29027
	Gm18600
VSIG2	Vsig2
	Glrp1
	Gm44982
	Ctbp2
	Gm12757
TICRR	Ticrr
CD36	Cd36
PRL	Prl2c1
	Gm32295
	Gm29028
	Gm15536
	Gm12072
	Gm12073
CX3CL1	Cx3cl1
OPRM1	Oprm1
	Gm10359
HSD17B14	Hsd17b14
	Gm43818
ATF3	Atf3
AURKB	Aurkb
DERL3	Derl3
	Gm29083
ADAD2	Adad2
	Gm37121
GPT2	Gpt2
KIF12	Kif12
	Gm18757
VSTM5	Vstm5
TAS2R4	Tas2r108
	AC124594.1
	Gm10650
	AC144732.1
	Gm12074
TBPL2	Tbpl2
KCNG4	Kcng4
IGDCC3	Igdcc3
CENPN	Cenpn
	Rpsa
	Gm9358
TMUB1	Tmub1
	Gm45668
	Gm6272
	AC118710.3
TMEM130	Tmem130
	AC118710.1
RIPK2	Ripk2
CCDC69	Ccdc69
	Gm13746
NYAP1	Nyap1
	Gm47568
	Gm28653
	Gm35552
DNTTIP2	Dnttip2
	Gm3442
	Gm29243
FAM135B	Fam135b
	Gm11924
	Miat
IL17A	Il17a
	Gm15247
	Gm6100
	G530011O06Rik
TTC22	Ttc22
CAPZA1	4933400A11Rik
	1700055D18Rik
	4930556G01Rik
ZBTB5	Zbtb5
	Gm11920
	Gm18199
	Gm5279
	A530010F05Rik
	Gm29029
	Gm37020
	Gm14003
IL17F	Il17f
	Olfr1472
KCNC4	Kcnc4
	Gm15726
	Gm44436
	Gm32846
MID1	Mid1
	Crct1
	Gm44440
SETD1A	Setd1a
CHL1	Chl1
BCAR3	Bcar3
ACLY	Acly
TEX43	Tex43
ZNF326	Zfp326
	Gm29030
	Gm29023
	Gm28615
	Gm29024
	Gm11922
	Gm29025
EQTN	Eqtn
	D030025E07Rik
PLA2G10	Pla2g10
SAP18	Sap18b
JAKMIP3	Jakmip3
	Gm44779
	Gm44605
	Gm29026
	Gm28213
	Gm45136
KLK3	Klk1b16
KLK2	Klk1b16
KLK1	Klk1b16
	Igkv6-23
AMMECR1	Ammecr1
SPATA19	Spata19
	Gm19137
	Gm8254
	Gm9068
	Gm2245
TCP11X2	Tcp11x2
AC235565.2	Tcp11x2
	Gm44796
	Gm26953
	Kis2
	Pla2g10os
	AC154607.1
CRYBA4	Cryba4
	Gm10302
	Gm12075
IL36B	Il1f8
	Gm12077
KLK3	Klk1b3
KLK2	Klk1b3
KLK1	Klk1b3
	Gm47571
FYB1	Fyb
	Gm4889
	Gm47331
	Gm45613
	Gm45350
	Gm31805
NDUFAB1	Ndufab1
	AC118710.4
	Zfp109
PLAGL1	Plagl1
	Gm28086
MTMR9	Mtmr9
	Gm14965
	Gm28212
	Gm21799
	Gm28227
RASGRP2	Rasgrp2
	Gm8345
TREX2	Trex2
	Gm38349
NKPD1	Nkpd1
	Gm29318
KLK3	Klk1b24
KLK2	Klk1b24
KLK1	Klk1b24
AGXT	Agxt
AGT	Agt
CD3D	Cd3d
MT3	Mt3
COL3A1	Col3a1
	4833445I07Rik
	Gm8679
	Gm17911
	Gm6458
ANAPC7	Anapc7
	Gm13410
	Gm45389
KLK3	Klk1b4
KLK2	Klk1b4
KLK1	Klk1b4
	AC157602.1
IL36G	Il1f9
	Gm20836
	Gm19589
TSC22D4	Tsc22d4
	Spink10
	1700119H24Rik
PRSS37	Prss37
	9430064I24Rik
CLDN14	Cldn14
MYLK	Mylk
GM2A	Gm2a
HSD3B7	Hsd3b7
	Olfr1473-ps1
ZNF592	Zfp592
	Gm6023
	Gm14559
PTGIR	Ptgir
	Gm37263
	6530437J22Rik
	Gm38130
	Gm37130
	Cyp2d37-ps
CPT1C	Cpt1c
PARS2	Pars2
	Gm47508
	Gm6061
	Gm47512
	Gm47795
	Gm29336
TSPYL4	Tspyl4
	Gm7367
LIMK2	Limk2
	Gm18129
	Gm19165
OR5B3	Olfr1442
ARL4C	Arl4c
CRYBB1	Crybb1
	Gm30196
	Gm12231
	Gm45795
OTUD4	Otud4
	Gm43905
BGLAP	Bglap3
	Gm3198
	Gm15918
TIGD2	Tigd2
XKR6	Xkr6
SLC38A7	Slc38a7
NT5DC1	Nt5dc1
	Gm37467
	Gm10297
LONRF3	Lonrf3
	Gm7394
	Gm44986
	Gm3810
TAT	Tat
	Gm14377
	Gm43295
	Gm12079
NAPG	Napg
	Olfr461
	Gm18801
	Gm28611
	B530045E10Rik
	Gm7160
	CT573086.1
CC2D2A	Cc2d2a
HLCS	Hlcs
	Gm9408
	Mup-ps22
	Gm43402
	1700030L20Rik
	Gm43817
	AC118710.5
SPINK13	Spink13
COMMD6	Commd6
	Gad1-ps
	Gm34983
SLC28A3	Slc28a3
	Gm35035
	4930408O17Rik
DPYSL4	Dpysl4
	Gm12943
	Gm36368
	Gm7666
	Gm20383
	Gm8836
CLMN	Clmn
	Igkv8-22
WASF1	Wasf1
	Gm43656
	Gm44202
	4933424H11Rik
	Gm43824
	Gm48085
	Gm44967
	Gm43359
	Gm4410
	Gm43360
	Igkv8-21
	Gm6990
	Gm15846
	Amd-ps5
	Olfr1197
ATMIN	Atmin
CCDC186	Ccdc186
CALM1	Calm3
PPP3CA	Ppp3ca
	Olfr1198
BAIAP3	Baiap3
GID8	Gid8
GCLC	Gclc
	Krt1
SCN2A	Scn2a
	Gm9387
	Igkv6-20
DLX3	Dlx3
	Gm28543
FBN1	Fbn1
CCDC38	Ccdc38
	Rapgef4os3
PHIP	Phip
RAPGEF4	Rapgef4
	Gm33533
SLC17A9	Slc17a9
HTRA1	Htra1
ACTR1B	Actr1b
PPP1R35	Ppp1r35
ZNF277	Zfp277
OR4C16	Olfr1199
	Gm3131
	Gm21114
PPP1R37	Ppp1r37
	Gm29633
	Olfr1200
OR4C11	Olfr1201
	Gm19391
	CT573086.4
	CT573086.3
DLX4	Dlx4
OR4C13	Olfr1202
	CT573086.2
	Gm30238
	Gm8352
	Gm47038
	Gm6244
	Best4-ps
	Gm47039
	Gm47041
OR4C11	Olfr1205
	Gm9979
SLC25A24	Slc25a24
	Dlx4os
OR4C13	Olfr1204
	Gm12765
	Gm14343
	Gm34165
	Gm6374
SPHKAP	Sphkap
	Scgb2b26
OR4C11	Olfr1206
BHLHE23	Bhlhe23
	Gm11514
SYNE2	Syne2
GPRIN3	Gprin3
	Gm11515
	Gm6108
	Gm34908
MEPCE	Mepce
TOP1	Top1
	Gm14340
	Gm15582
NKX1-2	Nkx1-2
	Lce1m
	Gm14342
	Rpl36-ps2
ABR	Abr
C2orf92	4933424G06Rik
	Gm14344
	Gm11360
	Gm18881
	Gm14339
	Gm5602
	Gm10421
	Gm27032
THAP1	Thap1
CUZD1	Cuzd1
	Gm48119
YLPM1	Ylpm1
	Gm17807
	Gm5441
YTHDF1	Ythdf1
	Gm6750
	4933408J17Rik
	AC150901.1
OR5B3	Olfr1443
PTPRN2	Ptprn2
TAC4	Tac4
	Gm8581
SNRPF	Snrpf
	Gm45388
	Gm37373
SETD1A	AC149222.1
	Gm9892
	Gm17929
	Gm6463
	Gm4585
MAP9	Map9
C10orf120	4933402N03Rik
	Gm45250
RPS25	Rps25
RNF170	Gm45692
RNF170	Rnf170
	Ttc39d
	Gm1110
	4930599N24Rik
	Gm42822
	Gm20110
	Gm18409
RPAP1	Rpap1
WFDC1	Wfdc1
	Gm44891
GEMIN6	Gemin6
ZCCHC2	Zcchc2
	Gm44547
HMX2	Hmx2
NKD2	Nkd2
	AC087902.2
	Slc36a3os
	Gm37517
SLC36A3	Slc36a3
ZCRB1	Zcrb1
LHPP	Lhpp
MIER2	Mier2
SHISAL2A	Fam159a
MORN2	Morn2
	Gm8506
GPX7	Gpx7
	Gm3683
	Gm47846
MCM3	Mcm3
ARHGEF33	Arhgef33
CEP131	Cep131
BIRC7	Birc7
	Gm45774
	Mt2
	D730003I15Rik
	Gm44625
	1700029B22Rik
PIK3CG	Pik3cg
	Gm12080
	AC087902.1
CYP2D6	Cyp2d40
CYP2D7	Cyp2d40
TRAPPC4	Trappc4
RBMY1B	Gm10352
RBMY1A1	Gm10352
RBMY1D	Gm10352
RBMY1E	Gm10352
RBMY1F	Gm10352
RBMY1J	Gm10352
	Gm36931
	C230085N15Rik
	E430014B02Rik
COL10A1	Col10a1
	Gm44439
	Gm44441
	Gm7946
SATB1	Satb1
	Gm14341
NACA2	Naca
NKAIN4	Nkain4
	Gm32352
DDX24	Ddx24
FPR1	Fpr1
IKZF5	Ikzf5
	Gm5418
	AI182371
	Olfr1474
POSTN	Postn
LEMD1	Lemd1
ZFP62	Zfp62
VCP	Vcp
	Gm8062
EVA1A	Eva1a
	Gm44644
	Gm44643
HAUS7	Haus7
	Gm18012
	9330160F10Rik
BORCS6	Borcs6
	Gm45484
	Gm45483
	Gm16178
NEK1	Nek1
	Gm15864
UCHL3	Uchl3
	Gm35101
IGKV4-1	Igkv8-19
	Gm47578
CS	Csl
C16orf46	1700030J22Rik
	Gm47579
	Gm35206
	Gm44623
TRRAP	Trrap
	Gm47403
DLGAP3	Dlgap3
FPR2	Fpr2
	Gm15241
IGKV4-1	Igkv8-18
	Gm12205
FPR2	Fpr3
ADGRG2	Adgrg2
	Gm30285
PITX2	Pitx2
	Gm20345
CDKL3	Cdkl3
	4933406P04Rik
FPR3	Fpr-rs4
	Gm47332
	H2-K2
	Gm33831
	Gm45349
	Gm47353
C2orf50	2410004P03Rik
	Gm14586
	Gm7851
	Gm8268
VAMP4	Vamp4
	Gm47354
	Zfp85
TMEM107	Tmem107
	Zfp108
	Gm20928
	Gm29335
CCDC160	Ccdc160
CCL17	Ccl17
	Gm33968
	Zfp85os
	Gm47355
ARFGAP1	Arfgap1
CKS2	Cks2
PRKAG3	Prkag3
	Vmn2r124
KIF20B	Kif20b
HMCN2	Hmcn2
	Gm6063
	Gm29630
MAP3K7	Map3k7
	Gm7241
	Vmn2r91
	Gm47260
	Tmsb15a
OR9A4	Olfr460
AC009690.3	Celf6
CELF6	Celf6
C9orf131	1700022I11Rik
	Gm38363
	AC137871.4
	Gm44768
	AC137871.2
	Cyp2d41-ps
KLHDC8A	Klhdc8a
	Platr5
PINX1	Pinx1
ANKS1A	Anks1
	Gm9519
SLC25A53	Slc25a53
	Psg-ps1
MUM1	Mum1
	Gm48851
	Gm48470
	Gm48471
	Rpl6l
	Gm9894
	Clca4c-ps
	Rpl19-ps9
	Vmn2r92
	Olfr1475
	Gm8873
	1190028D05Rik
SCLT1	Sclt1
	Gm19280
	Gm45673
RASA2	Rasa2
	Gm9685
	Gm45554
AGA	Aga
	Gm45747
	Gm13015
ATP2C2	Atp2c2
	Gm38811
	CT025630.3
	CT025630.1
	Gm19566
	Gm32736
	Gm5987
SLC36A2	Slc36a2
	Gm38433
	Gm32921
KCTD19	Kctd19
	Gm42915
	4930458A03Rik
PNMA8B	Pnmal2
	Gm12306
	4930432H08Rik
	Gm42916
BARHL2	Barhl2
VWA5B2	Vwa5b2
CNKSR3	Ipcef1
IPCEF1	Ipcef1
KIAA1024	AF529169
AC129492.3	Vamp2
VAMP2	Vamp2
	C230072F16Rik
	Scgb1b26-ps
	Gm38040
	Gm28184
PRL	Prl4a1
	Gm31861
	Gm17870
	4930556M19Rik
UCHL1	Uchl1
	Gm45251
	Gm44734
	Gm15038
ZCCHC18	Zcchc18
	Gm5619
	Gm44738
	Gm18766
	Gm44737
	Gm5458
	Gm44736
	Gm12773
	Gm44209
	Gm47409
TACR1	Tacr1
NUP155	Nup155
	Gm44023
PITRM1	Pitrm1
	Gm27195
CRB1	Crb1
	Gm15597
	Gm15598
SOX7	Sox7
	Gm29487
PLCG1	Plcg1
	Gm38262
	Gm29488
MED12	Med12
	Gm13617
SRGAP2C	Srgap2
SRGAP2B	Srgap2
SRGAP2	Srgap2
	Uchl1os
	Gm13619
KITLG	Kitl
	Gm28526
RGL1	Rgl1
CSRNP3	Csrnp3
	Gm19320
	Gm5197
	Gm8371
	Gm46388
MGAT1	Mgat1
	Gm30174
CAPN9	Capn9
LRRC27	Lrrc27
	Gm29337
AC005943.1	Uqcr11
UQCR11	Uqcr11
	Gm12341
PLEKHG4	Plekhg4
	Gm13134
	Olfr1208
	Gm13133
KRT77	Krt77
WDR1	Wdr1
AVEN	Aven
	Gm4753
	Gm30353
	2310074N15Rik
GLOD5	Glod5
	Gm12749
EPS15	Eps15
ZHX1	Zhx1
	Gm6934
	AC107452.1
	AC107452.3
	5830444F18Rik
	Gm37248
	4930469B13Rik
	Gm12081
	Gm41102
FKBP4	Fkbp4
	Gm17501
KLRG2	Klrg2
KCNK7	Kcnk7
	AC107452.2
	AC131997.2
OR4C16	Olfr1209
	Rpl31-ps25
	Gm43588
	Gm29052
ALMS1	Alms1
	Rpl21-ps11
	Gm45134
OR4C15	Olfr1211
PKDCC	Pkdcc
DNAJA2	Dnaja2
	Gm45328
	Gm15928
STK32C	Stk32c
	Gm11795
	Gm11794
	Gm11800
	Gm9429
OR4C15	Olfr1212
CLCA4	Clca4b
RAB20	Rab20
	Gm11799
CEP170B	Cep170b
CA8	Car8
C8orf76	Gm29394
ZHX1-C8orf76	Gm29394
OR4C15	Gm13762
LPO	Lpo
	Gm20100
	E230013L22Rik
	Gm8510
	Rpl22-ps1
NINJ1	Ninj1
	Gm38047
	Olfr1476-ps1
OR4C15	Olfr1214
AP001273.2	Med17
MED17	Med17
C8orf76	9130401M01Rik
ZHX1-C8orf76	9130401M01Rik
KLK3	Klk1b5
KLK2	Klk1b5
KLK1	Klk1b5
	Olfr1477
KRT76	Krt76
	Olfr1478-ps1
	Gm45150
LMNB1	Lmnb1
	Gm13381
	Gm44312
	Gm44306
GTF3C5	Gtf3c5
	Gm31108
ANKRD35	Ankrd35
ALPK3	Alpk3
LAIR1	Lair1
LAIR2	Lair1
ZUFSP	Zufsp
	Gm4152
	Gm10472
PSME2	Psme2
HTR1D	Htr1d
PEX13	Pex13
OR4C15	Olfr1215
OR4C15	Olfr1216
RBMY1B	Gm29289
RBMY1A1	Gm29289
RBMY1D	Gm29289
RBMY1E	Gm29289
RBMY1F	Gm29289
RBMY1J	Gm29289
OR4C15	Olfr1217
	Gm12738
RBMY1B	Gm21677
RBMY1A1	Gm21677
RBMY1D	Gm21677
RBMY1E	Gm21677
RBMY1F	Gm21677
RBMY1J	Gm21677
	Gm47410
PUS10	Pus10
ADIPOR1	Adipor1
	AC139844.2
	Gm15019
	Platr32
OR4C15	Olfr1218
CYP2D6	Cyp2d26
CYP2D7	Cyp2d26
	Tpi-rs9
FAM89B	Fam89b
	Gm18078
	Gm12737
	Gm35066
	Gm48901
OR4C15	Olfr1219
	Gm45344
	Gm14542
	Gm16233
ZCCHC11	Zcchc11
STARD10	Stard10
CEACAM5	Ceacam5
PSG9	Ceacam5
PSG2	Ceacam5
CEACAM8	Ceacam5
CEACAM6	Ceacam5
PSG11	Ceacam5
PSG7	Ceacam5
PSG1	Ceacam5
CEACAM1	Ceacam5
PSG5	Ceacam5
PSG8	Ceacam5
CEACAM7	Ceacam5
PSG3	Ceacam5
PSG6	Ceacam5
PSG4	Ceacam5
CEACAM3	Ceacam5
AC243967.1	Ceacam5
CLCA4	Clca4a
	Gm26872
KRT4	Krt4
	Gm42600
	Gm34096
MKS1	Mks1
	AC131997.1
	B930018H19Rik
	Gm48157
	Gm43408
	Gm17030
	AC131745.2
	Gm18806
	Gm47356
	Gm14607
	AC131745.1
	Gm47364
ATP6V1A	Atp6v1a
	Gm6539
PPHLN1	Pphln1
	1700031P21Rik
	Gm47067
	Rpl36a-ps2
DDAH1	Ddah1
	Gm26688
TFAP2A	Tfap2a
C8orf74	4930578I06Rik
SSSCA1	Sssca1
	Slmapos2
	Gm47377
	4933413J09Rik
NRGN	Nrgn
	Gm18585
	Olfr1479-ps1
SOWAHD	Sowahd
	Gm8106
OR4C15	Olfr1220
	Olfr1480
RP1L1	Rp1l1
	Zfp93
OR4C15	Olfr1221
	Gm48902
	Crb1-ps
	Gm18927
TM2D2	Tm2d2
SLC16A7	Slc16a7
KRT79	Krt79
	Gm16538
	Gm47379
	Slc36a1os
	Gm47378
	Gm3473
	Gm47380
	Rps2-ps13
	Gm45627
PTPRC	Ptprc
GLIPR1	Glipr1
	AC087902.3
	Gm14799
DUSP4	Dusp4
CEL	Cel
	A530072M11Rik
PRSS51	Prss51
	Gm11865
	Gm35239
	Gm14820
	Rpl39
	AC113305.1
OR4C15	Olfr1222
AKAP6	Akap6
OR4C15	Olfr1223
APOBEC4	Apobec4
	Gm12739
PRSS55	Prss55
KRR1	Krr1
	Zfp493
	Gm28792
OR4C15	Olfr1224-ps1
	Gm7278
	Gm16179
	Gm15479
	Gm45809
	Gm7079
	Gm8784
TRIP13	Trip13
SUV39H1	Suv39h1
	AC138604.1
	Gm48825
	Gm46391
BHLHA9	Bhlha9
	Gm3841
SCAMP1	Scamp1
GPRASP1	Gprasp1
TUSC5	Tusc5
	Gm37074
	Gm37168
	Gm15606
EPX	Epx
	Gm48091
OPCML	Opcml
	Vmn2r94
CCDC85A	Ccdc85a
CYP2C8	Cyp2c39
CYP2C9	Cyp2c39
CYP2C19	Cyp2c39
	Gm37954
KRT78	Krt78
	Gm8848
	Gm37876
AC092718.3	Gcsh
GCSH	Gcsh
AC092718.8	Gcsh
SLC36A1	Slc36a1
MAB21L2	Mab21l2
LRBA	Lrba
	Gm44770
REEP1	Reep1
	Gm43279
	Gm43280
ETNK1	Etnk1
OR10G7	Olfr978
OR10G4	Olfr978
OR10G9	Olfr978
OR10G8	Olfr978
OR4C15	Olfr1225
ZNF574	Zfp574
	Gm13761
	Olfr1481-ps1
	Gm6065
	Igkv6-17
OR4C15	Olfr1226
	Rapgef4os1
ARMCX5	Armcx5
PFKP	Pfkp
	Rapgef4os2
	CT030652.1
	Igkv8-16
	Gm45604
PGPEP1L	Pgpep1l
TPST2	Tpst2
	Gm47862
	Atxn7l1os2
GOSR1	Gosr1
OR10G7	Olfr979
OR10G4	Olfr979
OR10G9	Olfr979
OR10G8	Olfr979
ATXN7L1	Atxn7l1
	Cd52
OR10G7	Olfr980
OR10G4	Olfr980
OR10G9	Olfr980
OR10G8	Olfr980
GPRASP2	Gprasp2
	4930534H03Rik
	Cyp2c67
	Gm44769
TMED3	Tmed3
ZHX3	Zhx3
	AL772386.2
OR4D2	Olfr462
TRAPPC2B	Trappc2
TRAPPC2	Trappc2
	AL772386.1
	Gm47488
TSPO2	Tspo2
	1700126G02Rik
OR4D2	Olfr463
FAM103A1	Fam103a1
	AC138765.2
PHF6	Phf6
	Olfr1393
	Gm47061
CRYBG2	Crybg2
POLE4	Pole4
	1700045I11Rik
	Gm10109
	9330154J02Rik
	Olfr1392
	Keg1
TPBG	Tpbg
KLK3	Klk1
KLK2	Klk1
KLK1	Klk1
HIP1	Hip1
RPS8	Rps8
	4930421P07Rik
	Gm42811
OR10G6	Olfr981
	Gm37355
	Gm28172
	Gm11864
	Gm45016
	Gm11861
	Prox1os
	Gm45845
C15orf40	3110040N11Rik
	Gm11862
	Gm11447
MTA3	Mta3
PROX1	Prox1
LPIN3	Lpin3
AC012254.2	Ier3ip1
IER3IP1	Ier3ip1
DSC1	Dsc1
	Gm44739
	Gm20324
ETNPPL	Etnppl
TCF20	Tcf20
OFD1	Ofd1
	Gm43301
HDHD2	Hdhd2
IFT81	Ift81
PLCH2	Plch2
	Gm11948
	Gm44145
	AC138765.1
	AC138765.3
IL36A	Il1f6
	Gm12316
	Gm15962
SRRD	Srrd
PODXL	Podxl
	Gm17167
	Gm20476
	Gm13301
C3orf14	3830406C13Rik
PNMA8A	Pnmal1
	Gm21794
	Gm17833
	Gm42913
PTGES3	Ptges3
USP30	Usp30
	Gm37703
	Gm13409
BTBD1	Btbd1
CDV3	Cdv3
TDG	Tdg
DALRD3	Dalrd3
APOL2	Apol7a
APOL1	Apol7a
APOL4	Apol7a
APOL3	Apol7a
	Adam5
	Gm11926
	Gm3690
	Vmn2r-ps50
RRN3	Rrn3
	Gm7168
	Gm45424
	Gm45425
TTC4	Ttc4
	Gm42667
	Gm7356
	Gm47081
	Gm18705
	Gm7358
	Igkv6-15
	Gm47082
TNPO1	Tnpo1
	Gm15395
	Pkd1l2
TFIP11	Tfip11
	4930567H12Rik
	Gm20688
	Gm48720
	Gm48719
	Gm38901
CD3E	Cd3e
	Gm29019
ZNF518B	Zfp518b
	4930471C04Rik
	4933436E23Rik
PWWP2B	Pwwp2b
BCL10	Bcl10
	Vmn2r46
	Gm2979
	Gm18192
BCLAF1	Bclaf1
	Gm18892
ALKBH2	Alkbh2
HLA-B	H2-K1
HLA-A	H2-K1
HLA-G	H2-K1
HLA-C	H2-K1
HLA-F	H2-K1
HLA-E	H2-K1
NDRG2	Ndrg2
	Cyp2c68
LYSMD3	Lysmd3
	Atxn7l1os1
FAT2	Fat2
	1700001J11Rik
	Gm21956
PSMD2	Psmd2
	Gm34816
BGLAP	Bglap2
	Gm37037
MAP10	Map10
OR10S1	Olfr982
SVOP	Svop
	Gm2568
	Gm7730
ZBTB41	Zbtb41
	Gm36229
	Gm6821
BGLAP	Bglap
	Olfr983
	Gm14588
	Gm14579
ZNF233	Zfp61
	Gm4971
TEX13D	Gm362
TEX13C	Gm362
	4930488N24Rik
NUAK2	Nuak2
	Gm14580
WDR6	Wdr6
	Gm37291
	Gm14628
	Tmem229b-ps
	4930405G09Rik
	Gm14603
	Gm16158
	AC155941.1
	Gm20597
DCAF12L1	Dcaf12l2
DCAF12L2	Dcaf12l2
FAM169B	Fam169b
PMF1	Pmf1
FOXA1	Foxa1
AK9	Ak9
	Gm11848
	Gm11850
OR4D5	Olfr984
	Gm43541
	Gm5035
	Gm18164
	Gm18165
	Gm47722
APOA2	Apoa2
	AC139844.1
KRT8	Krt8
CYP2C8	Cyp2c40
CYP2C9	Cyp2c40
CYP2C19	Cyp2c40
