Mouse gene name	Gene name
Lats1	LATS1
Pfdn1	PFDN1
Optc	OPTC
Fam122a	FAM122A
Rwdd2a	RWDD2A
Pih1d1	PIH1D1
Umps	UMPS
Arhgap26	ARHGAP26
Cbx8	CBX8
Spc25	SPC25
Lgals8	LGALS8
Tarm1	TARM1
Cercam	CERCAM
Ceacam19	CEACAM19
Daam1	DAAM1
Sept9	SEPT9
Mpp2	MPP2
Myrf	MYRF
Tnfrsf11b	TNFRSF11B
Gmnc	GMNC
Tmem245	TMEM245
Eif3a	EIF3A
Spint2	SPINT2
Ssrp1	SSRP1
Prkrip1	PRKRIP1
Pgam5	PGAM5
Tbc1d21	TBC1D21
Ighv7-2	IGHV3-49
Ighv7-3	IGHV3-49
Ighv7-4	IGHV3-49
Ighv7-1	IGHV3-49
Tbck	TBCK
Hdac3	HDAC3
Slc52a3	SLC52A3
Ighv3-8	IGHV4-34
Ighv3-1	IGHV4-34
Ighv3-3	IGHV4-34
Ighv3-5	IGHV4-34
Ighv3-4	IGHV4-34
Ighv3-6	IGHV4-34
Ighv12-3	IGHV4-34
1700015G11Rik	CCDC179
Adh1	ADH1B
Brsk1	BRSK1
Nabp2	NABP2
Zap70	ZAP70
Ndufs7	NDUFS7
Gpn3	GPN3
Mgea5	MGEA5
Sik3	SIK3
Ighv3-8	IGHV4-4
Ighv3-1	IGHV4-4
Ighv3-3	IGHV4-4
Ighv3-5	IGHV4-4
Ighv3-4	IGHV4-4
Ighv3-6	IGHV4-4
Ighv12-3	IGHV4-4
Csrp1	CSRP1
Fam204a	FAM204A
Lin28b	LIN28B
Tmem86b	TMEM86B
Tslp	TSLP
Mrpl21	MRPL21
Plac9a	PLAC9
Gm9780	PLAC9
Plac9b	PLAC9
Ins2	INS
Ins1	INS
Osgep	OSGEP
Ak6	TAF9
Taf9	TAF9
Sema3g	SEMA3G
Ankrd33	ANKRD33
Phospho1	PHOSPHO1
Ighe	IGHE
Zfp382	ZNF382
Olfr66	OR51B4
Robo3	ROBO3
Rdx	RDX
Brcc3	BRCC3
H2afx	H2AFX
Neurl3	NEURL3
Ankle1	ANKLE1
Lhb	AC008687.1
Pcdhb16	PCDHB13
Serpina3i	SERPINA3
Serpina3b	SERPINA3
Serpina3m	SERPINA3
Serpina3f	SERPINA3
Serpina3c	SERPINA3
Serpina3k	SERPINA3
Serpina3a	SERPINA3
Serpina3n	SERPINA3
Serpina3g	SERPINA3
Serpina3j	SERPINA3
Cog7	COG7
Krt9	KRT9
Foxp1	FOXP1
Nup85	NUP85
Dpf3	DPF3
Snrnp35	SNRNP35
Nelfb	NELFB
Ppp1r32	PPP1R32
Pdk1	PDK1
Tubgcp3	TUBGCP3
Lad1	LAD1
Zcchc24	ZCCHC24
Ccdc172	CCDC172
Neurl1a	NEURL1
Rft1	RFT1
Ube2z	UBE2Z
Amz2	AMZ2
Calhm3	CALHM3
Gfap	GFAP
Calhm1	CALHM1
Ccdc103	FAM187A
Kdm3b	KDM3B
Sfmbt1	SFMBT1
Npas4	NPAS4
Ppa2	PPA2
Ska3	SKA3
Mrpl57	MRPL57
Spata31	SPATA31A3
Rbsn	RBSN
Syt10	SYT10
RMST_1	RMST
Tsr3	TSR3
Rps6ka3	RPS6KA3
Spata31	SPATA31A1
Tbx19	TBX19
Calhm2	CALHM2
Helq	HELQ
Plekha4	PLEKHA4
Gm35060	TEX51
Ephx4	EPHX4
Hsd11b1	HSD11B1
Btbd6	BTBD6
Hoxa9	HOXA9
Hoxa10	HOXA10
Fasn	FASN
Phf21b	PHF21B
Htatip2	HTATIP2
Gabpa	GABPA
Fbxo27	FBXO27
Zbtb18	ZBTB18
Asb2	ASB2
Ankrd42	ANKRD42
Tbc1d2b	TBC1D2B
Gch1	GCH1
Nol11	NOL11
Ogt	OGT
Jam2	JAM2
Lamtor4	LAMTOR4
Mrps27	MRPS27
Mylk	MYLK
Dus1l	DUS1L
Pitpnc1	PITPNC1
Npat	NPAT
Vstm4	VSTM4
Wdr11	WDR11
BC037034	C7orf43
Pdpr	PDPR
Iqcf5	IQCF5
Iqcf6	IQCF6
Cela1	CELA1
Utp14b	UTP14C
Utp14a	UTP14C
Sox6	SOX6
Rap1gds1	RAP1GDS1
Arhgef2	ARHGEF2
Alg11	ALG11
Igkv18-36	IGKV3OR2-268
Csmd2	CSMD2
1110004F10Rik	C11orf58
Utp3	UTP3
Phldb3	PHLDB3
Htr3a	HTR3A
Atm	ATM
Slc22a21	SLC22A5
Slc22a5	SLC22A5
Fam19a1	FAM19A1
Helz	HELZ
Cmtm1	CMTM1
Cyp4b1	CYP4B1
Dbndd1	DBNDD1
Olfr13	OR2A7
1110059G10Rik	KIAA1143
Samd4	SAMD4A
Elmod1	ELMOD1
Arel1	AREL1
Angpt1	ANGPT1
Orm1	ORM1
Orm2	ORM1
Orm3	ORM1
Poc1a	POC1A
Ppip5k2	PPIP5K2
Izumo1	IZUMO1
Haus8	HAUS8
Ooep	OOEP
Hars	HARS
Hdgfl3	HDGFL3
Ctbp2	CTBP2
Mrpl24	MRPL24
Tex45	TEX45
Ppfia1	PPFIA1
Slc7a14	SLC7A14
Cldn11	CLDN11
Cd248	CD248
Prss54	PRSS54
Ttc9	TTC9
Lrrc10	LRRC10
Bmpr1b	BMPR1B
Zfp568	ZNF571
Rtp2	RTP2
Zcchc9	ZCCHC9
Arl2	ARL2
Iqcj	IQCJ
Hist2h2bb	HIST2H2BF
Ccnf	CCNF
Tcirg1	TCIRG1
Olfr1038-ps	OR5R1
Olfr501-ps1	AP002512.3
Psma8	PSMA8
Mras	MRAS
Oat	OAT
Mall	MALL
Prpf4b	PRPF4B
Olfr1097	OR8H1
Olfr1099	OR8H1
Gm13723	OR8H1
Olfr1098	OR8H1
Olfr1100	OR8H1
Pde4d	PDE4D
Olfr1052	OR5J2
Lst1	LST1
Herpud1	HERPUD1
Apcs	APCS
BC030336	C16orf52
Magi3	MAGI3
Rgs7	RGS7
Ube2q1	UBE2Q1
Cel	CEL
P2rx2	P2RX2
Gpha2	GPHA2
Klf17	KLF17
Pigq	PIGQ
Upk3bl	AC105052.1
Fpgs	FPGS
Habp4	HABP4
Klk12	KLK12
Fam72a	FAM72A
Chst5	CHST5
Flcn	AC055811.2
Med13	MED13
Txk	TXK
Lrrc42	LRRC42
Olfr1258	OR4C13
Rnf19b	RNF19B
Sema6a	SEMA6A
Gm10131	ERH
Ntng2	NTNG2
Il1rl1	IL1RL1
Unc119b	UNC119B
Insm1	INSM1
Tpp2	TPP2
Smchd1	SMCHD1
Pibf1	PIBF1
Ryr2	RYR2
Mfsd1	MFSD1
Zmym2	ZMYM2
4933430I17Rik	C9orf43
Hsd17b1	HSD17B1
Fam98a	FAM98A
Sfxn2	SFXN2
Crx	CRX
Hspa8	HSPA8
Elk3	ELK3
Mdn1	MDN1
Dab2ip	DAB2IP
Trim67	TRIM67
Scara5	SCARA5
Ubxn6	UBXN6
Swsap1	SWSAP1
Med27	MED27
Krt1	KRT1
Gm23242	RNU6-437P
Gm22287	RNU6-437P
Gm22101	RNU6-437P
Gm25973	SNORA51
Gm26316	RNU2-2P
Snord1c	SNORD1C
Gm24253	SNORD1C
Snord1b	SNORD1C
Slc6a8	AC136616.1
Snord11	SNORD11
Gm23955	RNU6-1161P
Gm26236	SNORA8
Gm26317	U6
Gm24540	U6
Gm27798	FTX_1
Gm24722	RNU6-1
Gm24961	RNU1-49P
Gm22139	RNU6-586P
Gm23655	RNU6-586P
Gm25857	SNORA44
Gm22341	SNORA44
Gm22622	SNORA44
Gm22840	SNORA44
Gm22520	SNORA44
Snora44	SNORA44
Gm22723	SNORA44
Gm22300	SNORA44
Gm23031	RNU6ATAC11P
Gm26418	SNORA10
Gm27735	ZNRD1-AS1_2
Gm23500	RNU6-860P
Gm24724	RNU6-860P
U6	RNU6-297P
Gm27853	RN7SL184P
Gm22486	SNORD94
Gm25007	U2
Gm24545	RN7SKP60
Gm27348	uc_338
Gm22373	SNORD116-16
Snord2	SNORD2
n-R5s194	RNA5SP352
Gm25844	RN7SKP241
Gm24765	RNU6-649P
Gm24615	SNORA20B
Gm24283	RNU6-283P
Gm23377	SNORA43
Gm22504	SNORA43
Gm25886	RNU6-578P
Gm26055	RNU6-637P
Gm24149	RNU6-101P
Gm23500	RNU6-785P
Gm24724	RNU6-785P
Gm25360	U2
Gm25939	U2
Gm23472	U2
Gm26438	Y_RNA
Gm22199	Y_RNA
Gm26224	SNORD74B
Gm25796	RNU1-105P
Gm26449	RNU6-877P
Gm23966	RNU6-877P
Gm25135	RNU4-11P
n-R5s12	RNA5SP457
Gm26413	SCARNA15
Gm23370	SCARNA15
Gm25820	SCARNA15
Gm22813	SCARNA15
Gm22897	SCARNA15
Gm23111	RNU6-418P
Gm22876	RN7SL83P
Gm22667	RN7SKP271
Gm24593	RNU6-1062P
Gm22481	RN7SKP269
Snord78	SNORD78
Gm25279	RNU4-67P
Snord42a	SNORD42A
Gm24764	RNU2-7P
Gm25319	RN7SKP112
Gm26311	SNORA13
Gm26175	SNORA36
Gm25520	SNORA36
Gm22247	SNORA36
Gm23613	SNORA36
Gm26225	SNORA36
Gm25635	SNORA36
Gm25410	SNORA36
Gm25136	SNORA36
Gm25920	RNU6-1109P
Gm22827	RNU6-708P
Gm25038	SNORA75
Gm23130	SNORD101
Gm22084	RNU6-53P
Gm23468	RNU6-53P
Gm25720	RNU6-53P
Gm23640	RNU6-53P
Gm25857	SNORA44
Gm22341	SNORA44
Gm22622	SNORA44
Gm22840	SNORA44
Gm22520	SNORA44
Snora44	SNORA44
Gm22723	SNORA44
Gm22300	SNORA44
Gm25898	RNU6-79P
Gm27718	PVT1_3
Gm27894	PVT1_3
Gm25967	SNORA38B
Gm24184	Y_RNA
Gm22373	SNORD116
Gm28008	ST7-OT4_4
Gm22296	RNU6-765P
Gm26458	SNORA24
Gm24918	SNORA24
Gm24338	SNORA24
Gm24252	SNORA24
Gm23012	SNORA24
Gm26457	snoZ196
Gm26128	RNU6-49P
Gm26438	Y_RNA
Gm22199	Y_RNA
Gm22985	RNU4-34P
Vis1	VIS1
Gm27993	uc_338
Gm23389	SNORD30
Gm23969	SNORD24
Snord64	SNORD64
Gm25488	RNA5SP303
Gm25669	RNA5SP303
Gm25797	RNU6-1014P
Gm22088	SNORA25
Gm23353	SNORA25
Gm23172	SNORA25
Vcpkmt	VCPKMT
Smc5	SMC5
Cd14	CD14
Sptbn2	SPTBN2
Ik	IK
Etnk2	ETNK2
Bcs1l	BCS1L
Alyref2	ALYREF
Gm4303	ALYREF
Gm4340	ALYREF
Gm6763	ALYREF
Gm4301	ALYREF
Gm4302	ALYREF
Alyref	ALYREF
Gm4312	ALYREF
Gm4305	ALYREF
Gm4307	ALYREF
Gm8764	ALYREF
Gm21304	ALYREF
Gm21312	ALYREF
Gm20765	ALYREF
Gm21293	ALYREF
Dhrs7b	DHRS7B
Nosip	NOSIP
Rbm14	RBM14
Dhrs7	DHRS7
Gm4756	DHRS7
Ckb	CKB
Abl1	ABL1
Exosc2	EXOSC2
Ppp1r27	PPP1R27
Faap100	FAAP100
Tmem171	TMEM171
Fam98c	FAM98C
Napsa	NAPSA
Vrk1	VRK1
Aatk	AATK
Aldh1a3	ALDH1A3
Chmp6	CHMP6
Plcd4	PLCD4
Tmed5	TMED5
Nanos3	NANOS3
Oaf	OAF
Dr1	DR1
Cbwd1	CBWD3
Nostrin	NOSTRIN
Tk1	TK1
Dner	DNER
6030468B19Rik	C17orf99
Edc3	EDC3
Pakap	PALM2-AKAP2
Nolc1	NOLC1
2310030G06Rik	C11orf52
Spata31	SPATA31A6
Alox15	ALOX15
Bgn	BGN
Pipox	PIPOX
Sez6	SEZ6
Samd5	SAMD5
Cept1	CEPT1
Abhd8	ABHD8
Samd12	SAMD12
Dda1	DDA1
Zfp628	ZNF628
Zfp839	ZNF839
Siah1b	SIAH1
Siah1a	SIAH1
Actr2	ACTR2
Slfn14	SLFN14
Pkd2l2	PKD2L2
Tmprss15	TMPRSS15
1700017N19Rik	C12orf50
Anp32e	ANP32E
Pard6b	PARD6B
Lmx1a	LMX1A
Pgp	PGP
Tyrobp	TYROBP
Dnajc27	DNAJC27
Slc27a6	SLC27A6
Gna14	GNA14
Csdc2	CSDC2
Atp11a	ATP11A
Tubg2	TUBG2
Letmd1	LETMD1
Siva1	SIVA1
Smim10l2a	SMIM10L2A
Scarf1	SCARF1
Acbd3	ACBD3
Casp6	CASP6
Cadm3	CADM3
Mut	MUT
Bnip3	BNIP3
Fabp3	FABP3
Arhgef17	ARHGEF17
Ogn	OGN
Pbld2	PBLD
Pbld1	PBLD
Tmem184b	TMEM184B
Ppp2r2d	PPP2R2D
Tshz1	TSHZ1
Chd5	CHD5
Triqk	TRIQK
Ldlrad3	LDLRAD3
Rbm18	RBM18
Slco4c1	SLCO4C1
Fjx1	FJX1
Sox2	SOX2
Erp44	ERP44
Mrrf	MRRF
As3mt	AS3MT
Thra	THRA
Fancm	FANCM
Olfr178	OR5K4
Olfr181	OR5K4
Olfr180	OR5K4
Pfn1	PFN1
Hnrnpa2b1	HNRNPA2B1
Kif13a	KIF13A
Casp8ap2	CASP8AP2
Susd6	SUSD6
B3galt6	B3GALT6
Lrig1	LRIG1
Eva1a	EVA1A
Tec	TEC
Ccdc51	CCDC51
Htr1b	HTR1B
Olfr1468-ps1	OR5AC1
Cenpf	CENPF
Aspg	ASPG
Aamp	AAMP
Wtap	WTAP
1700007G11Rik	C4orf22
Sod2	SOD2
Ly6e	LY6E
Rd3l	RD3L
Stoml2	STOML2
Il15ra	IL15RA
Dis3	DIS3
Pmp22	PMP22
Mkrn1	MKRN1
Pax2	PAX2
Grb14	GRB14
Necab2	NECAB2
Rufy1	RUFY1
Dpys	DPYS
Gtf2h2	GTF2H2
Tssc1	EIPR1
Sh3gl1	SH3GL1
Lekr1	LEKR1
4930524B15Rik	C5orf47
Atp13a3	ATP13A3
Megf10	MEGF10
Slc17a8	SLC17A8
Adamts2	ADAMTS2
Cdc42ep5	CDC42EP5
Zmym5	ZMYM5
Peli1	PELI1
Kcns2	KCNS2
Bahd1	BAHD1
Zdhhc13	ZDHHC13
Epn3	EPN3
Gm2115	CTXND1
Igsf3	IGSF3
Ifi213	PYHIN1
Ifi214	PYHIN1
Ifi208	PYHIN1
Cyba	CYBA
Gmpr2	GMPR2
Car4	CA4
Klk9	AC011473.4
Chmp5	CHMP5
Bag2	BAG2
Plxnb1	PLXNB1
Klk8	KLK8
Eif4ebp1	EIF4EBP1
Car10	CA10
Tnfrsf13b	TNFRSF13B
Arid1a	ARID1A
Epha6	EPHA6
Tmtc2	TMTC2
Olfr1423	OR4D11
Klk4	KLK4
Nme9	NME9
Olfr1424	OR4D10
Olfr1425	OR4D10
Olfr1426	OR4D10
Ccpg1	CCPG1
Habp2	HABP2
St3gal3	ST3GAL3
Dnase2b	DNASE2B
Arg1	ARG1
Ssx9	SSX4B
Ssxb9	SSX4B
Ssxb10	SSX4B
Ssxb2	SSX4B
Gm5751	SSX4B
Ssxb1	SSX4B
Ssxb5	SSX4B
Gm6592	SSX4B
Gm21876	SSX4B
Ssxa1	SSX4B
Gm14459	SSX4B
Ssxb8	SSX4B
Ssxb3	SSX4B
Ssxb6	SSX4B
Itga7	ITGA7
Rlim	RLIM
Reep1	REEP1
Sspn	SSPN
Tspan31	TSPAN31
Prom2	PROM2
Uso1	USO1
Trim38	TRIM38
Pick1	PICK1
Mical2	MICAL2
Dip2a	DIP2A
Olfr808	OR6C65
Tab3	TAB3
Zfp37	ZFP37
Gpr155	GPR155
Pafah1b3	PAFAH1B3
Zfp329	ZNF329
Snx31	SNX31
Prox1	PROX1
Marcks	MARCKS
Slc26a8	SLC26A8
Sap30	SAP30
Atxn2l	ATXN2L
Sult4a1	SULT4A1
Timd2	HAVCR1
Havcr1	HAVCR1
BC053393	HAVCR1
Gm12169	HAVCR1
Msh4	MSH4
Stk4	STK4
Mphosph6	MPHOSPH6
Ajap1	AJAP1
Mapk7	MAPK7
Rnf24	RNF24
Nek11	NEK11
Zmiz2	ZMIZ2
1700066M21Rik	C2orf69
Fam228b	AC008073.3
Tmem170b	TMEM170B
Cckbr	CCKBR
Notch1	NOTCH1
Pld3	PLD3
Ska1	SKA1
Tspan2	TSPAN2
Olfr1464-ps1	OR5B17
Olfr1452-ps1	OR5B17
Commd4	COMMD4
Asb15	ASB15
Fam60a	SINHCAF
Prkacb	PRKACB
Bpgm	BPGM
Gm24383	RN7SKP59
Gm25177	U4
n-R5s204	RNA5SP175
Gm22373	SNORD116
Snord37	SNORD37
Snord4a	SNORD4A
Gm23722	SNORA33
Gm25488	RNA5SP123
Gm25669	RNA5SP123
Snora15	SNORA15B-2
Snord32a	SNORD32A
Gm26023	RN7SKP200
Gm23501	RN7SKP207
Gm23993	SNORA48
Gm24475	SNORA48
Gm25569	SNORA48
Gm24262	SNORA48
Gm25113	SNORA48
Gm24879	SNORA48
Gm24288	SNORA48
Gm22315	SNORA48
Gm23278	SNORA48
Gm24963	SNORA48
Gm22988	SNORA48
Gm23343	SNORA48
Gm24782	SNORA48
Gm25117	SNORA48
Gm23168	SNORA48
Gm25771	SNORA48
Gm22554	SNORA48
Gm24727	SNORA48
Gm23598	SNORA48
Gm23546	SNORA48
Gm22890	SNORA48
Gm25291	SNORA48
Gm23716	SNORA48
Gm26036	SNORA48
Gm22210	SNORA48
Gm23123	SNORA48
Gm25383	SNORA48
Gm24780	SNORA48
Gm24130	SNORA48
Gm23339	SNORA48
n-R5s15	RNA5SP278
Gm25627	RNU1-57P
Gm23470	RNU1-57P
Gm25506	SNORD41
Gm24728	SNORA4
Gm25588	SNORA4
Gm25582	SNORA4
Gm24460	SNORA4
Gm24500	SNORA4
Gm26495	SNORA4
Gm24668	RNU6-851P
Gm26330	SNORD46
Gm27572	PART1_2
Gm25332	RNU6-442P
Gm23377	SNORA43
Gm22504	SNORA43
Gm27383	HOTTIP_3
Snora68	SNORA68
Gm25403	VTRNA1-1
Vaultrc5	VTRNA1-1
Gm22345	RNU6-844P
Gm27762	ST7-AS1_2
Gm24833	RNU6ATAC22P
Gm25309	RNU6ATAC22P
Gm25360	U2
Gm25939	U2
Gm23472	U2
Gm23249	RNU1-33P
Gm22291	RNA5S14
n-R5s141	RNA5S14
n-R5s24	RNA5SP232
Gm26457	SNORD51
Gm25574	RN7SL277P
Gm27896	RN7SL277P
Gm27826	RN7SL277P
Gm22993	RN7SL277P
Gm27956	RN7SL277P
Gm27651	RN7SL277P
Gm22642	RN7SL277P
Gm22662	RN7SL277P
Gm27854	RN7SL277P
Gm25072	RN7SL277P
Gm24809	RN7SL277P
Gm25735	RN7SL277P
Gm22906	RN7SL277P
Gm24576	RN7SL277P
Gm23563	RN7SL277P
Gm27316	RN7SL277P
Gm26271	RNU6-583P
Gm25619	RNU6-583P
Tppp3	TPPP3
Anapc15	ANAPC15
Anapc15-ps	ANAPC15
Ccnk	CCNK
Tspan10	TSPAN10
Sorcs3	SORCS3
Tmub2	TMUB2
Btg2	BTG2
Lrrk1	LRRK1
Pip5k1b	PIP5K1B
G6pc3	G6PC3
Pgm5	PGM5
Chil1	CHI3L1
Ccdc18	CCDC18
Leng1	LENG1
Krtdap	KRTDAP
Spry4	SPRY4
Cbx4	CBX4
Card9	CARD9
Dnlz	DNLZ
Trip12	TRIP12
Nacc2	NACC2
Prpf31	PRPF31
Hs6st3	HS6ST3
Med16	MED16
Clk3	CLK3
Rbl1	RBL1
Polr2j	POLR2J
Dnajc3	DNAJC3
Nadsyn1	NADSYN1
Sbk2	SBK2
Ssc5d	SSC5D
Tcl1	TCL1A
Srsf2	SRSF2
Mcam	MCAM
Edil3	EDIL3
Hagh	HAGH
Zfp92	ZFP92
Ly6g6f	LY6G6F-LY6G6D
Zfp3	ZFP3
Ly6g6f	LY6G6F
Rspo4	RSPO4
Tcl1b2	TCL1B
Tcl1b4	TCL1B
Tcl1b3	TCL1B
Slc25a21	SLC25A21
Nkx2-1	NKX2-1
Ccdc153	CCDC153
Srp72	SRP72
Slc6a3	SLC6A3
Clptm1l	CLPTM1L
Phka1	PHKA1
Foxe3	FOXE3
Ptpn13	PTPN13
Terb1	TERB1
Cul9	CUL9
Sele	SELE
Zfp831	ZNF831
Dync1li2	DYNC1LI2
Matr3	MATR3
Gm28285	MATR3
Igkv5-48	IGKV6-21
Igkv5-43	IGKV6-21
Igkv5-45	IGKV6-21
Adcy7	ADCY7
Apoa5	APOA5
Adh5	ADH5
Slc5a2	SLC5A2
Prss21	PRSS21
Ighg2b	IGHG1
Ighg1	IGHG1
Ighg2c	IGHG1
Ighg3	IGHG1
Pfdn4	PFDN4
Ddx19b	DDX19B
Igkv15-103	IGKV1-6
Phf7	PHF7
Eif1	EIF1
Adat2	ADAT2
Plk3	PLK3
Tmem121	TMEM121
Tff3	TFF3
C1ql1	C1QL1
Lrp4	LRP4
Ppp1r1b	PPP1R1B
Bap1	BAP1
Arpc3	ARPC3
Gpc5	GPC5
Ackr4	ACKR4
Eme2	EME2
Atp11c	ATP11C
Cln5	CLN5
Itih5	ITIH5
Ruvbl2	RUVBL2
Snx2	SNX2
Lrrc71	LRRC71
Hnrnpr	HNRNPR
Rad54b	RAD54B
Itga6	ITGA6
Cpsf7	CPSF7
Krt34	KRT34
Krt33a	KRT34
Krt33b	KRT34
Krt31	KRT34
Hid1	HID1
Napepld	NAPEPLD
Astn2	ASTN2
Rapsn	RAPSN
Cfl1	CFL1
Lypd6	LYPD6
Kcnc4	KCNC4
Rpl23a	RPL23A
Olfr557	OR51D1
Lipc	LIPC
Krt39	KRT39
Tmem268	TMEM268
Atg10	ATG10
Rnf19a	RNF19A
Bag6	BAG6
Atp1b1	ATP1B1
Kctd5	KCTD5
Csrnp3	CSRNP3
Surf1	SURF1
Dmgdh	DMGDH
Nat10	NAT10
Slc22a4	SLC22A4
Lmbrd1	LMBRD1
Rnaseh2c	RNASEH2C
Arhgef5	ARHGEF5
Islr	ISLR
Sap25	SAP25
Proca1	PROCA1
Rgs22	RGS22
Lhfpl2	LHFPL2
Tpbgl	TPBGL
Dlx5	DLX5
Gm7145	ZNF701
B020011L13Rik	ZNF701
Gm28360	ZNF701
Ctnna2	CTNNA2
Foxr1	FOXR1
Enam	ENAM
Rimbp3	RIMBP3B
Klhl12	KLHL12
Myo18a	MYO18A
Hypm	HYPM
Aaas	AAAS
Rab4b	RAB4B-EGLN2
Otc	OTC
Cyp2a4	CYP2A7
Cyp2a5	CYP2A7
Sema4c	SEMA4C
Pi4k2b	PI4K2B
Psen2	PSEN2
Mkrn2	MKRN2
C2cd2	C2CD2
Bola1	BOLA1
Trim16	TRIM16L
Zfp715	ZNF175
Zfp719	ZNF175
Zfp819	ZNF175
Uchl4	UCHL3
Uchl3	UCHL3
Imp3	IMP3
Zc3h3	ZC3H3
Rnf219	RNF219
Ddias	DDIAS
Mab21l2	MAB21L2
Bcl6	BCL6
Stk38	STK38
Mmp15	MMP15
Tial1	TIAL1
Skap2	SKAP2
Sp8	SP8
Pdzd7	PDZD7
Usp17le	USP17L19
Usp17la	USP17L19
Usp17lb	USP17L19
Usp17lc	USP17L19
Usp17ld	USP17L19
Parp16	PARP16
Olfr52	OR8U1
Dhx15	DHX15
Limd2	LIMD2
Cenpe	CENPE
Olfr351	OR1N1
Olfr353	OR1N1
Olfr3	OR1J1
Lhpp	LHPP
Zyg11a	ZYG11A
Ctgf	CTGF
Zfp706	ZNF706
Tshr	TSHR
4933417A18Rik	C6orf201
Tmem98	TMEM98
Mrps31	MRPS31
Mrps25	MRPS25
Synj2bp	SYNJ2BP
Tenm1	TENM1
Phf10	PHF10
1600012H06Rik	C6orf120
Cavin4	CAVIN4
Fam181b	FAM181B
Csgalnact1	CSGALNACT1
Olfr1123	OR10AG1
Amdhd2	AC093525.1
Akt1	AKT1
Ptgs1	PTGS1
Dyrk3	DYRK3
Ctsl	CTSV
Slfn8	SLFN13
Slfn9	SLFN13
Zfp516	ZNF516
Chmp3	CHMP3
Ubox5	UBOX5
Tmem204	TMEM204
Klf3	KLF3
Snx25	SNX25
Ddx27	DDX27
Dcaf10	DCAF10
Emilin1	EMILIN1
Ythdf3	YTHDF3
Fbrsl1	FBRSL1
Pigh	PIGH
Tbc1d25	TBC1D25
Smarcad1	SMARCAD1
Cish	CISH
Slc44a2	SLC44A2
Cgnl1	CGNL1
Tdgf1	TDGF1
Kcnk7	KCNK7
Hsf4	HSF4
Gjb6	GJB6
Evi2a	EVI2A
Polr3h	POLR3H
Psmg4	PSMG4
Ercc5	BIVM-ERCC5
March10	MARCH10
Frk	FRK
Slc35g3	SLC35G3
Fam174a	FAM174A
Mpp5	MPP5
Rab3c	RAB3C
Gas2l3	GAS2L3
Ost4	OST4
Ripor3	RIPOR3
Klk14	KLK14
Hemk1	HEMK1
Twist1	TWIST1
Tma7	TMA7
Pycr2	AL117348.2
Zfp629	ZNF629
Tubb2a	TUBB2A
Srgap2	SRGAP2
Thoc3	THOC3
Mettl21c	METTL21C
Porcn	PORCN
Parp10	PARP10
Lrrc66	LRRC66
Fam122b	FAM122B
Tmem63a	TMEM63A
Sptlc2	SPTLC2
Lrp12	LRP12
Ufsp1	UFSP1
Grhpr	GRHPR
Lamb1	LAMB1
Lime1	LIME1
Cebpb	CEBPB
Zfp281	ZNF281
Nme4	NME4
Mc1r	MC1R
Psmg3	PSMG3
C330018D20Rik	C5orf63
Zfp2	ZFP2
Ppm1d	PPM1D
Abcf3	ABCF3
Shkbp1	SHKBP1
Oit1	FAM3D
Mc1r	AC092143.1
Ift46	IFT46
Gm25929	RNU6-36P
Ighv7-2	AC136616.2
Ighv7-3	AC136616.2
Ighv7-4	AC136616.2
Ighv7-1	AC136616.2
Gm23392	RNA5SP419
Gm26346	RN7SKP222
Gm23102	RNU5A-2P
Gm26034	RNU6-172P
Gm22601	RN7SKP113
Gm23533	RN7SKP113
Gm23143	RNU5E-5P
Gm25099	RNU5E-5P
Gm22571	snoU18
Gm22685	RNU6-40P
Gm22482	RN7SKP233
Gm22435	SNORA25
Gm23405	RNU1-65P
Gm22809	RNU1-65P
Gm25650	RNU1-65P
Gm27741	HYMAI
Gm22277	RN7SKP31
Olfr732	AC171558.1
Olfr733	AC171558.1
Snord107	SNORD107
Gm27511	SMCR2_1
Rny1	RNY1
Gm24871	RNU5E-1
Gm23287	RNU5E-1
Gm22710	RNU4ATAC
Gm26285	RNU6-16P
Gm23792	RNU6-889P
Gm22766	RNU6-1278P
Gm24452	SNORD27
Gm25644	RNU6-1189P
Gm25368	RNA5SP75
Gm25142	RNU6-934P
Gm25134	RNU1-148P
Gm22490	SNORA40
Gm24452	SNORD27
Gm24840	U2
Snord55	SNORD55
Gm25139	SNORA73
Gm24346	SNORA73
Gm25079	SNORA73
Gm23500	RNU6-747P
Gm24724	RNU6-747P
Gm24940	RNU6ATAC13P
Snora30	SNORA37
Gm25133	SNORA37
Gm23506	RNU6-480P
Gm26224	SNORD74
Snora7a	SNORA7A
Gm27991	SNORA7A
Gm27607	SNORA7A
Gm22589	SNORD84
Tekt4	MAFIP
n-R5s217	RNA5SP23
Gm27289	RNA5SP117
Gm22649	RN7SL290P
Gm22443	RNU6-945P
Gm23422	RNU6-945P
Gm22577	RNU6-945P
Gm24481	RNU6-945P
Gm25333	RN7SKP244
Gm23764	RNA5SP345
Gm23122	RNU6-628P
Gm23454	SNORA16A
Snora16a	SNORA16A
Gm26438	Y_RNA
Gm22199	Y_RNA
Snora26	SNORA26
Gm26329	Y_RNA
Gm22942	SNORA70
Gm22586	RNA5SP228
Ankrd31	ANKRD31
Plekha6	PLEKHA6
1700028P14Rik	C9orf135
Arhgef40	ARHGEF40
Rcn3	RCN3
Utp15	UTP15
Nsf	NSF
Numa1	NUMA1
