mouseSymbol,choSymbol
Ccdc188,Ccdc188
Hs3st6,Hs3st6
Gm22807,RF00302
Gm25988,RF00105
Terc,RF00024
Lztr1,Lztr1
Snord49a,RF00277
Snord99,RF00608
Scyl1,Scyl1
Gm25462,RF00105
Gm23618,RF00105
Zfp869,Zfp869
Cramp1l,Cramp1l
Gm27389,RF01947
Snord111,RF00611
Gm27543,RF02142
Gm28016,RF02159
Fech,Fech
Gm22274,RF00105
Catsperd,Catsperd
Impact,Impact
Pcgf6,Pcgf6
Sap130,Sap130
Gm25194,RF00105
Rab18,Rab18
Gm24289,RF00582
Hbegf,Hbegf
Rnu3b3,RF01848
Commd10,Commd10
Top3b,Top3b
Atp6v0e,Atp6v0e
Gm27793,RF02089
Elob,Elob
Gpr151,Gpr151
Gnptg,Gnptg
Lrrc30,Lrrc30
Pdia5,Pdia5
Gm27987,RF02120
Zfp608,Zfp608
Slc8a1,Slc8a1
Meiob,Meiob
B4galt6,B4galt6
Pfdn1,Pfdn1
Chsy3,Chsy3
Mlst8,Mlst8
Tubb6,Tubb6
Krtap22-2,Krtap22-2
Hmgxb3,Hmgxb3
Yipf5,Yipf5
Dand5,Dand5
Cpox,Cpox
Thap7,Thap7
Gtf2f1,Gtf2f1
Map3k13,Map3k13
Pggt1b,Pggt1b
Arap3,Arap3
Gm27539,RF01950
Gm23212,RF00287
Il17b,Il17b
Prelid3a,Prelid3a
Mc5r,Mc5r
Pkd2l2,Pkd2l2
Krtap26-1,Krtap26-1
Cidea,Cidea
Pard6g,Pard6g
Gm23449,RF00105
Yeats2,Yeats2
Gm24452,RF00086
Hspbap1,Hspbap1
Gm24837,RF01191
Ubtd1,Ubtd1
Lonp1,Lonp1
Slc37a1,Slc37a1
Snord47,RF00281
Prepl,Prepl
Tbc1d10c,Tbc1d10c
Gm25089,RF00105
Nit2,Nit2
Gm25296,RF00189
Cox14,Cox14
Snord98,RF00607
Xrcc5,Xrcc5
Tmem173,Tmem173
Gm22858,RF00325
Snord57,RF00274
Npas4,Npas4
Gm22459,RF00421
Slc25a27,Slc25a27
Dennd1c,Dennd1c
Gm26096,RF00105
Pola2,Pola2
Snora5c,RF00392
Lama1,Lama1
Calhm1,Calhm1
Slc29a2,Slc29a2
Gm27419,RF01964
Spry3,Spry3
Casp1,Casp1
Gm27308,RF02205
Gm27542,RF02189
Prss29,Prss29
Rpusd1,Rpusd1
Retnlb,Retnlb
Slc22a1,Slc22a1
Retnlg,Retnlg
Pias2,Pias2
Yif1a,Yif1a
Gm25742,RF00105
Smpd4,Smpd4
Gm3443,Gm3443
Plekhh2,Plekhh2
Cndp2,Cndp2
Apcdd1,Apcdd1
Rnf151,Rnf151
Mppe1,Mppe1
Snord88a,RF00604
Rnu3b2,RF00012
Mrpl43,Mrpl43
Gm24633,RF00070
Tpsb2,Tpsb2
Ska1,Ska1
Ddb1,Ddb1
Ltn1,Ltn1
Snord16a,RF00138
Gm27545,RF02091
Mir5125,Mir5125
Stip1,Stip1
Snord73a,RF00071
Epg5,Epg5
Gm22615,RF00421
Gm22192,RF00153
Afg3l2,Afg3l2
Dntt,Dntt
Mxi1,Mxi1
Nxpe3,Nxpe3
Gm25840,RF00105
Gm22640,RF00105
Slc22a2,Slc22a2
Snord8,RF00377
Gm27998,RF01877
BC027072,BC027072
Gm25156,RF00105
Banf1,Banf1
Aars2,Aars2
Rpl36,Rpl36
Slc3a1,Slc3a1
Gm23650,RF00275
Dmrt3,Dmrt3
Fas,Fas
Armc4,Armc4
Slc35g1,Slc35g1
Zfp598,Zfp598
Haao,Haao
Gm23451,RF00421
Neurl1a,Neurl1a
Bloc1s2,Bloc1s2
Clec2l,Clec2l
Ankrd2,Ankrd2
Gm27676,RF01985
Cyp4f14,Cyp4f14
Riok3,Riok3
Gm20721,Gm20721
Cox8a,Cox8a
Gm26079,RF00562
Gm24494,RF00279
Ahsg,Ahsg
Casp7,Casp7
Gm25452,RF00105
Tle4,Tle4
Zdhhc14,Zdhhc14
Lyl1,Lyl1
Gm24759,RF00105
Snora19,RF00413
Klhdc3,Klhdc3
Gm24119,RF00563
Gm27605,RF02132
Gm24219,RF00105
Bbs1,Bbs1
Gm27395,RF01946
Pla1a,Pla1a
Gm24566,RF00105
Snord118,RF00096
Sipa1,Sipa1
Cabp4,Cabp4
Gm22486,RF00613
Crkl,Crkl
Gm25394,RF01229
Gm27694,RF01871
Rab1b,Rab1b
Gm27818,RF02116
Scarna8,RF00286
Gykl1,Gykl1
Trpm6,Trpm6
Gm27834,RF02175
Ppic,Ppic
Gm27717,RF01884
Fbxo38,Fbxo38
Gm27861,RF01976
Snord14c,RF00016
Rnu3b4,RF00012
Snord96a,RF00055
Gm25741,RF00105
Gm25874,RF00105
Gm24799,RF00105
Gm27735,RF02219
Fbxl16,Fbxl16
Ppil2,Ppil2
Gpr152,Gpr152
Gm26390,RF00105
Ganab,Ganab
Sdhaf2,Sdhaf2
Acaa2,Acaa2
Gm26467,RF00105
Mzb1,Mzb1
Cd14,Cd14
Dgcr14,Dgcr14
Cyp4f39,Cyp4f39
Galr1,Galr1
Qk,Qk
Gm25776,RF00600
Gm25077,RF00105
Gm27849,RF02131
Fetub,Fetub
Epha3,Epha3
Gpr31b,Gpr31b
Jcad,Jcad
Hrh4,Hrh4
Tbx10,Tbx10
Tssk2,Tssk2
Ypel1,Ypel1
Paqr4,Paqr4
Stub1,Stub1
Atp13a1,Atp13a1
Slc4a9,Slc4a9
Mir1949,RF00090
Mcrip2,Mcrip2
Ube2d2a,Ube2d2a
Snx4,Snx4
Hacd2,Hacd2
Gm27715,RF02210
Stk32a,Stk32a
Tomm70a,Tomm70a
Hsbp1l1,Hsbp1l1
Gm23639,RF00396
Rad9a,Rad9a
Flrt1,Flrt1
Cmss1,Cmss1
Gng3,Gng3
Rimbp3,Rimbp3
Gm22393,RF00105
Cldn5,Cldn5
Plac8l1,Plac8l1
Cdo1,Cdo1
Spats1,Spats1
Tcte1,Tcte1
Ftmt,Ftmt
Klhl24,Klhl24
BC016579,BC016579
Prss34,Prss34
Snord123,RF01156
Sh3gl1,Sh3gl1
Zfp516,Zfp516
Kcnj6,Kcnj6
Guca1a,Guca1a
Nubp2,Nubp2
Mgea5,Mgea5
Gm27699,RF01887
Ppm1b,Ppm1b
Gm25313,RF00020
Adrb2,Adrb2
1700067P10Rik,1700067P10Rik
Ptchd4,Ptchd4
Slc18a2,Slc18a2
Crtac1,Crtac1
Gm22252,RF00105
Ypel5,Ypel5
Gm22909,RF00105
Gm23925,RF00056
Tmem178,Tmem178
Thada,Thada
Snord22,RF00099
Igfals,Igfals
Mir3102,Mir3102
Vit,Vit
2010003K11Rik,2010003K11Rik
Spink7,Spink7
Gm25129,RF00056
Morn4,Morn4
Gm24306,RF00105
Gabrr3,Gabrr3
Pcna-ps2,Pcna
9130008F23Rik,9130008F23Rik
1810055G02Rik,1810055G02Rik
Abi3bp,Abi3bp
Slc22a7,Slc22a7
Prrc1,Prrc1
Gm24253,RF00213
Lpxn,Lpxn
Sfxn3,Sfxn3
Pdzd8,Pdzd8
Gm22059,RF01211
Znrf4,Znrf4
Klf9,Klf9
Taf8,Taf8
Fbxl22,Fbxl22
Capn1,Capn1
Iqgap2,Iqgap2
Lipa,Lipa
Jak2,Jak2
Gm26059,RF00105
Macrod1,Macrod1
Gm26389,RF00105
Gm27383,RF02042
Ranbp3,Ranbp3
Dtx4,Dtx4
Snord14d,RF00016
Gm24585,RF00105
Pik3ap1,Pik3ap1
Mmp25,Mmp25
Smndc1,Smndc1
D030056L22Rik,D030056L22Rik
Snx2,Snx2
Gm26374,RF00105
Kcnk4,Kcnk4
Xdh,Xdh
Cebpz,Cebpz
Ttll2,Ttll2
Ch25h,Ch25h
Actr1a,Actr1a
Camkmt,Camkmt
Mir1897,RF01953
Ptx4,Ptx4
Lrrc74b,Lrrc74b
Umodl1,Umodl1
Me2,Me2
Rtn3,Rtn3
Gm24657,RF00105
Gm24453,RF00085
Gm23254,RF00105
Hnrnpul2,Hnrnpul2
Gm27538,RF02209
Gm23389,RF00088
Gm25859,RF00421
Gm27645,RF01987
Psmb1,Psmb1
Ppp1r3c,Ppp1r3c
Snora73b,RF00045
Gm22200,RF00154
Thumpd2,Thumpd2
Ppm1f,Ppm1f
Scd1,Scd1
Cyp26c1,Cyp26c1
Wdr55,Wdr55
Cep55,Cep55
Gm27761,RF01984
Arhgef37,Arhgef37
Gm27817,RF02140
Gm27919,RF01873
Catsper1,Catsper1
Cox7a2l,Cox7a2l
Ttc27,Ttc27
Gm22632,RF00105
Mrpl11,Mrpl11
Gm340,Gm340
Gm26334,RF00105
Ankrd1,Ankrd1
Asah2,Asah2
Wnt8b,Wnt8b
Wdr7,Wdr7
Glp1r,Glp1r
Mrpl16,Mrpl16
Fam204a,Fam204a
Mpp7,Mpp7
Sart1,Sart1
Snord53,RF00325
Gm22629,RF00105
Snord42b,RF00150
Exosc1,Exosc1
Snord82,RF00158
Tmem225,Tmem225
Gm24051,RF00612
Ovol1,Ovol1
Cdkl4,Cdkl4
Cwf19l1,Cwf19l1
Fam196b,Fam196b
Lcor,Lcor
Mir3071,Mir3071
Snord33,RF00133
Twnk,Twnk
Fra10ac1,Fra10ac1
Ccdc88b,Ccdc88b
Nron,RF00636
Gm27585,RF02090
Gm25146,RF00105
Gm27803,RF01948
Gm22348,RF00105
Gm25088,RF00105
Gm24652,RF00105
Rbfa,Rbfa
Gm27867,RF01975
Gm24952,RF00105
Gm22988,RF00554
Krtap8-1,Krtap8-1
Gm379,Gm379
Gm25970,RF01186
Gm25894,RF00087
Phf1,Phf1
Snora2b,RF00410
Ndufa11,Ndufa11
Thoc1,Thoc1
Gm27315,RF01983
Snord110,RF00610
Gm25087,RF00105
Gpatch11,Gpatch11
Gm27533,RF01957
Gm22842,RF00635
Sim2,Sim2
Gm27741,RF02143
Kcng3,Kcng3
Cyp39a1,Cyp39a1
Aifm3,Aifm3
Gm22888,RF01191
Gm22996,RF00105
Mllt1,Mllt1
Trpt1,Trpt1
Scarna13,RF00231
Gm28006,RF01955
Gm23893,RF00056
Ltbp3,Ltbp3
Snord17,RF00567
Cyp26a1,Cyp26a1
Gm24310,RF00105
Gm27611,RF01954
Rprd1a,Rprd1a
Gm26432,RF00105
Sema6b,Sema6b
Capn13,Capn13
Gm23660,RF00105
Gm22449,RF00105
Gm23933,RF00105
Ammecr1l,Ammecr1l
Gm23575,RF00105
Dpy30,Dpy30
Gm27444,RF02184
Reep2,Reep2
Rom1,Rom1
Psma8,Psma8
Gm28008,RF02190
Gm23246,RF00089
Gm24455,RF00425
Yipf4,Yipf4
Gm24420,RF01383
Gm25229,RF00105
Med15,Med15
Osbp,Osbp
Fads2,Fads2
Gm23299,RF00421
Tll2,Tll2
P2rx6,P2rx6
Gm22510,RF00105
Kif20a,Kif20a
Mrpl49,Mrpl49
Gm26284,RF00105
Gm26200,RF00105
Gm24866,RF00105
Fkbp2,Fkbp2
Tmem95,Tmem95
Snord34,RF00147
Mapk1,Mapk1
Gm26498,RF00105
Rrp12,Rrp12
Cacul1,Cacul1
Lnpep,Lnpep
Gm23560,RF00105
Snord107,RF01164
Scarna3a,RF00565
Gm27365,RF02188
Gm23130,RF00186
Nfkbie,Nfkbie
Nthl1,Nthl1
Pi4ka,Pi4ka
9130011E15Rik,9130011E15Rik
Gm23939,RF00421
Gfer,Gfer
Gm23286,RF00105
Treml2,Treml2
Gm27587,RF01879
Tmem217,Tmem217
Dazl,Dazl
Gm25870,RF00105
Scarna2,RF01268
Gm27505,RF01956
Gm24570,RF00105
Heatr5b,Heatr5b
Gm25449,RF00105
Fam120b,Fam120b
Gm23187,RF00594
Gal,Gal
Gm26109,RF00154
Gm27465,RF01871
Aldh3b1,Aldh3b1
Snord87,RF00439
Gm24206,RF00105
Cep120,Cep120
Gm27544,RF01971
Ppp1ca,Ppp1ca
Gm25744,RF00282
Gm23688,RF00105
Gm25835,RF01290
Gm23471,RF00105
Serpind1,Serpind1
Zdhhc23,Zdhhc23
Gm23262,RF01291
Snord67,RF00573
Gm22834,RF00105
Sall3,Sall3
Bricd5,Bricd5
Snord91a,RF00580
Fsd1,Fsd1
Gm23076,RF00105
Senp2,Senp2
Plin3,Plin3
Gm26366,RF00105
Vamp7,Vamp7
Noc2l,Noc2l
Haus1,Haus1
Gm22357,RF00069
Acer1,Acer1
B3gat3,B3gat3
Slc30a6,Slc30a6
Gm10337,Gm10337
A730071L15Rik,A730071L15Rik
Gm22627,RF00105
Gm23922,RF00105
Gm27265,RF02275
Sf3b2,Sf3b2
Slc22a6,Slc22a6
Ints5,Ints5
Pnlip,Pnlip
Pyroxd2,Pyroxd2
Gm24148,RF00217
Gm27804,RF02039
Tmem139,Tmem139
Gm24495,RF00105
Snord89,RF00578
Gm9821,Gm9821
Rnu73b,RF00071
Gm27335,RF01872
Mir5117,RF00152
Gm27608,RF01969
Gm24299,RF01161
Gm27502,RF02251
Gm26499,RF00105
Gm23305,RF00105
Gm23406,RF00421
Gm27755,RF02179
Snord14e,RF00016
Cd70,Cd70
Gm24926,RF00105
Gm25907,RF00090
Gm27698,RF02173
Snora73a,RF00045
Gm24137,RF00105
Ccdc94,Ccdc94
Dus3l,Dus3l
Gm27869,RF02130
Gm27477,RF01979
Mir1895,Mir1895
Gm26130,RF00429
Fbxl15,Fbxl15
Csprs,Csprs
Gm22489,RF00612
Gm25091,RF00187
Snord15b,RF00067
Dlx6os1,RF01778
Elp2,Elp2
Arl3,Arl3
Gm24862,RF00105
Spata24,Spata24
Gm26434,RF00105
Dmrt2,Dmrt2
Washc1,Washc1
n-R5-8s1,RF00002
Ffar4,Ffar4
Ctxn2,Ctxn2
Hunk,Hunk
Ankrd66,Ankrd66
Catsperz,Catsperz
Pgp,Pgp
Vis1,RF01992
Rrp36,Rrp36
Pdcd4,Pdcd4
Gm23310,RF00105
Epcam,Epcam
6030445D17Rik,6030445D17Rik
Snora61,RF00420
Grxcr2,Grxcr2
Smoc2,Smoc2
Srsf7,Srsf7
Kat5,Kat5
Ap5b1,Ap5b1
Tigd3,Tigd3
Vps37a,Vps37a
Gm22270,RF00155
Apobec2,Apobec2
Eml4,Eml4
Gm24027,RF00105
Rbm27,Rbm27
Rnu3b2,RF01848
Snord78,RF00592
Ccdc172,Ccdc172
Gm25585,RF00105
Kctd16,Kctd16
Gm27435,RF02246
Fads3,Fads3
Gm27443,RF01906
Gm25648,RF00105
Wdr43,Wdr43
Gm25121,RF00105
Gm24639,RF00105
4930507D05Rik,4930507D05Rik
Gm27957,RF02168
Metrn,Metrn
Snora74a,RF00090
Mir1956,Mir1956
Gm27300,RF01872
Gm27905,RF01888
Fgf12,Fgf12
Gm27866,RF02043
Gm22253,RF00105
Ndufaf7,Ndufaf7
Gm25283,RF00019
Rnf138,Rnf138
Gm25314,RF00105
Cuta,Cuta
Gm24418,RF00105
Gm23356,RF00105
Adcyap1,Adcyap1
Gm25379,RF00302
Gm25175,RF00105
Tigit,Tigit
Srf,Srf
Gm26230,RF00105
Cyp4f17,Cyp4f17
Plcl2,Plcl2
Gm23344,RF00093
Gm27970,RF01894
Prss22,Prss22
Mir3096,RF00606
Gm23547,RF01294
Tmem151b,Tmem151b
Lpar2,Lpar2
Gm27427,RF02252
Ralbp1,Ralbp1
Gm22193,RF00611
Gnal,Gnal
Rnf125,Rnf125
Gm27275,RF02250
Gm24601,RF00002
Gm24417,RF00105
Mir3064,Mir3064
Pank1,Pank1
Adamts5,Adamts5
Rsph1,Rsph1
Krtap7-1,Krtap7-1
Gm24872,RF00105
Lhcgr,Lhcgr
Snx24,Snx24
Gm26337,RF00105
Gm25710,RF00105
Scaf4,Scaf4
Eif1ad,Eif1ad
Fshr,Fshr
Gp5,Gp5
Eif3a,Eif3a
Gm27893,RF02272
Snord1c,RF00213
Wdr36,Wdr36
Mslnl,Mslnl
Taf5,Taf5
2410015M20Rik,2410015M20Rik
Hic2,Hic2
Gm22480,RF00155
Gm22111,RF00105
Gm22050,RF00105
Mep1b,Mep1b
B4gat1,B4gat1
Calhm3,Calhm3
Cxxc1,Cxxc1
Gm23455,RF00421
Snord85,RF00188
Snord59a,RF00273
Slc12a2,Slc12a2
Gramd3,Gramd3
Ctsw,Ctsw
Khsrp,Khsrp
Fer,Fer
Gm27695,RF02139
Cldn20,Cldn20
Rnu3b4,RF01848
Gm27753,RF01967
Map3k2,Map3k2
Kcne1,Kcne1
Ccdc78,Ccdc78
Akain1,Akain1
Gm24265,RF00015
Gm24969,RF00105
Plg,Plg
Igll1,Igll1
Sod1,Sod1
Dync2li1,Dync2li1
Srd5a2,Srd5a2
Rbbp8,Rbbp8
Gm10477,Gm10477
Pdcd11,Pdcd11
Dym,Dym
Opn5,Opn5
Tnfrsf21,Tnfrsf21
Adcy5,Adcy5
Carns1,Carns1
Socs5,Socs5
Tnfrsf12a,Tnfrsf12a
Gm25098,RF00105
Ptar1,Ptar1
Snap29,Snap29
Gm10135,Gm10135
Gm25230,RF00105
Tubb4a,Tubb4a
Tmprss2,Tmprss2
Csnk1g3,Csnk1g3
Rbp4,Rbp4
Snord90,RF00579
Mbl2,Mbl2
Ssh3,Ssh3
Fbn2,Fbn2
Gna14,Gna14
Gm24528,RF00105
Gm6793,Gm6793
Rnu3b3,RF00012
Ldlrad4,Ldlrad4
Klc4,Klc4
Gm25085,RF00105
Poll,Poll
Gm24654,RF00105
Cuedc2,Cuedc2
Scaf8,Scaf8
Gm27960,RF02187
Gm26466,RF00105
Gm24983,RF00105
Gm24220,RF00105
Rpl7l1,Rpl7l1
Oard1,Oard1
Gm27283,RF02249
Lipg,Lipg
Gm27798,RF02119
Arrdc5,Arrdc5
Pkmyt1,Pkmyt1
Map3k11,Map3k11
Impa2,Impa2
Thbs2,Thbs2
Gm27999,RF01970
Srbd1,Srbd1
Bcl2l10,Bcl2l10
Gm10322,Gm10322
Gm27985,RF02041
Gm26440,RF00302
Clic5,Clic5
Gm23713,RF00421
Rfx2,Rfx2
Gm25187,RF00056
Pglyrp2,Pglyrp2
Gm25209,RF00105
Gm22154,RF00431
Gm27454,RF02141
Gm22255,RF00105
Efhb,Efhb
Zbtb3,Zbtb3
Tmem232,Tmem232
Gm27582,RF01966
Bicral,Bicral
Cnih2,Cnih2
Gpr108,Gpr108
Add3,Add3
Gm23991,RF00604
Gm25120,RF00105
Gm27369,RF02038
2510009E07Rik,2510009E07Rik
Gm24653,RF00105
2700062C07Rik,2700062C07Rik
Gal3st3,Gal3st3
Gm26003,RF00056
Isoc1,Isoc1
Gm24067,RF00584
Slc30a10,Slc30a10
Mb21d2,Mb21d2
Tnfsf14,Tnfsf14
Nlrc4,Nlrc4
Gm22130,RF00105
Cdc42ep2,Cdc42ep2
Vcpkmt,Vcpkmt
Ccdc85b,Ccdc85b
Zfp438,Zfp438
Tmco6,Tmco6
Tsr3,Tsr3
Gm22511,RF00105
Gm22394,RF00285
Plcb3,Plcb3
Qpct,Qpct
Gm27572,RF02160
Gm27285,RF02121
Ppp1r14b,Ppp1r14b
Gm27492,RF02138
Ccdc14,Ccdc14
Sstr5,Sstr5
Gm23944,RF00105
Crygs,Crygs
Mc4r,Mc4r
Gm23687,RF00105
Fam173a,Fam173a
Gm25461,RF00105
Gm26387,RF00155
8030462N17Rik,8030462N17Rik
Msh6,Msh6
Gm27602,RF02201
Tut1,Tut1
Aqp4,Aqp4
Fam122a,Fam122a
Lipm,Lipm
Akap8,Akap8
Gm27366,RF01965
Gjd4,Gjd4
Glo1,Glo1
Gfra3,Gfra3
Gm27470,RF02113
Cyb561a3,Cyb561a3
Rgmb,Rgmb
Pi4k2a,Pi4k2a
Gm22293,RF00421
Ydjc,Ydjc
Gm27568,RF02150
Pacs1,Pacs1
Ccdc58,Ccdc58
Nfkb2,Nfkb2
Gpr15,Gpr15
Pnliprp1,Pnliprp1
Snord4a,RF00266
Zmat2,Zmat2
Rcan1,Rcan1
Gm25463,RF00105
Zfp213,Zfp213
Vps37c,Vps37c
Spink6,Spink6
Nfatc1,Nfatc1
Myh15,Myh15
Tmem41a,Tmem41a
Lrrc55,Lrrc55
Trim8,Trim8
Rnps1,Rnps1
Scd3,Scd3
Rasgrp3,Rasgrp3
Pum3,Pum3
Ppp1r32,Ppp1r32
Gm24702,RF00105
9930104L06Rik,9930104L06Rik
Gm22524,RF00105
Shtn1,Shtn1
Cpt1a,Cpt1a
Gm22771,RF00580
Cst6,Cst6
Pp2d1,Pp2d1
Txnl1,Txnl1
Epas1,Epas1
Camk4,Camk4
Tnfsf9,Tnfsf9
Slf2,Slf2
Gm27588,RF01968
Gm27271,RF02176
Snord72,RF00577
As3mt,As3mt
Gm27402,RF02185
Snord21,RF00068
Dnajc18,Dnajc18
1600017P15Rik,RF00024
Grk5,Grk5
Snord1b,RF00213
Bace2,Bace2
Brms1,Brms1
Gm24610,RF00421
Gm23682,RF00105
Gm23658,RF00413
Slc9a3r2,Slc9a3r2
Pot1b,Pot1b
Adamts19,Adamts19
Gm25506,RF00588
Gm27801,RF02247
Gm27899,RF02127
Acta2,Acta2
Zfp518a,Zfp518a
Snora28,RF00400
Ccs,Ccs
Hpse2,Hpse2
Gmnc,Gmnc
Gm25646,RF00105
Adgre4,Adgre4
Gm22303,RF00421
Ctsf,Ctsf
Rnu3b1,RF01848
Gm22912,RF00105
Timm21,Timm21
Gm25523,RF00105
Tkfc,Tkfc
Gm24021,RF00105
Hps6,Hps6
Gm24411,RF00056
Gpr156,Gpr156
Snord104,RF00289
Kcnk18,Kcnk18
Opalin,Opalin
Dnph1,Dnph1
Snora65,RF00302
Snord35a,RF00211
Gm26392,RF00105
Gm26336,RF00105
Retnla,Retnla
Gm27636,RF02208
Gm27868,RF01978
Sfxn2,Sfxn2
Lrrc73,Lrrc73
Snx9,Snx9
Gm24040,RF00105
Gm25934,RF00105
Gm10308,Gm10308
Snora21,RF00412
Gm26488,RF00105
Isg15,Isg15
Snord15a,RF00067
Dact2,Dact2
Stap2,Stap2
Gm27337,RF01905
Srfbp1,Srfbp1
Gm24613,RF00302
Gm25984,RF00105
Gm22630,RF00105
Cstf2t,Cstf2t
Gm25221,RF00105
Gm23090,RF01191
Gm24100,RF00105
Adprh,Adprh
Gm22391,RF00105
Gm25017,RF00105
Gm22871,RF00285
Gm27786,RF01973
Scarna6,RF00478
Clpp,Clpp
Fosl1,Fosl1
Gm24608,RF00418
Alk,Alk
Lzts2,Lzts2
Zbtb7c,Zbtb7c
Lrg1,Lrg1
Gm22744,RF00070
Slc22a3,Slc22a3
Gm23145,RF00105
Glyatl3,Glyatl3
Gm17657,Gm17657
Pstpip2,Pstpip2
Rab31,Rab31
Nacc1,Nacc1
Sptbn2,Sptbn2
Cxxc5,Cxxc5
Gm27404,RF01986
Gm27350,RF02145
Dpp3,Dpp3
Jpt2,Jpt2
Gm25647,RF00105
Gm23008,RF01173
Npy6r,Npy6r
Ccnf,Ccnf
Gm22009,RF01295
Cd2ap,Cd2ap
Zadh2,Zadh2
Cpsf7,Cpsf7
Dynap,Dynap
Shoc2,Shoc2
Cd74,Cd74
Gpr137,Gpr137
Fam160b1,Fam160b1
Map3k4,Map3k4
Tmem207,Tmem207
Ndufs8,Ndufs8
Sept5,Sept5
Rcl1,Rcl1
Ubxn7,Ubxn7
Chaf1a,Chaf1a
Ccdc112,Ccdc112
Gm10644,Gm10644
Liph,Liph
Mut,Mut
Dnajc4,Dnajc4
Caskin1,Caskin1
Upk1b,Upk1b
Mfsd7a,Mfsd7a
Fermt3,Fermt3
Morc1,Morc1
Ms4a5,Ms4a5
Rnf40,Rnf40
Etaa1,Etaa1
Gcg,Gcg
Ercc2,Ercc2
Rnf217,Rnf217
Mtx1,Mtx1
Gpr83,Gpr83
Prss44,Prss44
Susd4,Susd4
Smg8,Smg8
Cnnm4,Cnnm4
Wdr91,Wdr91
Dcbld1,Dcbld1
Stx11,Stx11
Haus3,Haus3
Ms4a12,Ms4a12
Prr11,Prr11
Myot,Myot
Pcnx3,Pcnx3
Tsen2,Tsen2
Ephb1,Ephb1
E2f7,E2f7
Jarid2,Jarid2
Fam167b,Fam167b
Mei4,Mei4
Cts6,Cts6
Id2,Id2
Trim7,Trim7
Fbrsl1,Fbrsl1
Hsd17b11,Hsd17b11
Olfm2,Olfm2
Unc79,Unc79
Fam160a2,Fam160a2
Brs3,Brs3
Aldh6a1,Aldh6a1
Eif3i,Eif3i
Stx3,Stx3
Npc2,Npc2
Slc25a3,Slc25a3
Ttc41,Ttc41
Prkd3,Prkd3
Nudt9,Nudt9
Eln,Eln
Arg1,Arg1
Bbof1,Bbof1
Slc39a2,Slc39a2
Pglyrp4,Pglyrp4
Cenpf,Cenpf
Bag2,Bag2
Cldn7,Cldn7
Cntfr,Cntfr
Clcn7,Clcn7
Isca2,Isca2
Kif4,Kif4
Prss43,Prss43
Suox,Suox
Angel2,Angel2
St3gal4,St3gal4
Tmem203,Tmem203
Prss45,Prss45
Cda,Cda
Pdha1,Pdha1
Fap,Fap
Ergic1,Ergic1
Trim37,Trim37
Rras2,Rras2
Galnt9,Galnt9
Pdzd11,Pdzd11
Ctso,Ctso
Dmxl2,Dmxl2
A2m,A2m
Map3k15,Map3k15
Rnf144a,Rnf144a
Cfap45,Cfap45
Ptpdc1,Ptpdc1
Chuk,Chuk
Htatsf1,Htatsf1
Cdk2,Cdk2
Ctdnep1,Ctdnep1
Trim68,Trim68
Slc2a1,Slc2a1
Atxn1l,Atxn1l
Ptpn13,Ptpn13
Tfb2m,Tfb2m
Nup37,Nup37
Tmem211,Tmem211
Lgr4,Lgr4
Dcps,Dcps
Fthl17a,Fthl17a
Mocs2,Mocs2
Plekhd1,Plekhd1
Tssk1,Tssk1
Vsig8,Vsig8
Zfp451,Zfp451
Elp5,Elp5
Prss46,Prss46
Hs3st2,Hs3st2
Sycp1,Sycp1
Gtf3c6,Gtf3c6
Mamdc4,Mamdc4
Tab3,Tab3
Unc93b1,Unc93b1
Pik3r5,Pik3r5
Tfdp2,Tfdp2
Dgka,Dgka
Akip1,Akip1
Rab28,Rab28
Lysmd2,Lysmd2
AW551984,AW551984
Sgsm1,Sgsm1
BC051019,BC051019
Nap1l5,Nap1l5
Lancl1,Lancl1
Zmat4,Zmat4
Grin3b,Grin3b
Ppm1e,Ppm1e
Slc4a10,Slc4a10
Pmel,Pmel
Aldh3b3,Aldh3b3
Olfm1,Olfm1
Abcc9,Abcc9
Izumo1r,Izumo1r
Defb1,Defb1
Phpt1,Phpt1
Tmem177,Tmem177
Abl2,Abl2
Noc4l,Noc4l
Slc10a5,Slc10a5
Tmem270,Tmem270
Impa1,Impa1
Slc25a1,Slc25a1
Kif21b,Kif21b
Copb1,Copb1
Mul1,Mul1
Nhlrc3,Nhlrc3
Eif2b5,Eif2b5
Cdc25a,Cdc25a
4921530L21Rik,4921530L21Rik
Pdilt,Pdilt
Scg3,Scg3
Cldn13,Cldn13
Col6a4,Col6a4
Klhl1,Klhl1
Socs4,Socs4
Rad51c,Rad51c
Gopc,Gopc
Aldh3b2,Aldh3b2
Prss50,Prss50
Samsn1,Samsn1
Sf3b5,Sf3b5
Abcc10,Abcc10
Gm17660,Gm17660
Rnase13,Rnase13
Olfr91,Olfr91
Pum2,Pum2
Mapk1ip1l,Mapk1ip1l
Fmod,Fmod
Nudt21,Nudt21
Snx18,Snx18
Mdga1,Mdga1
Ttc37,Ttc37
B3galnt2,B3galnt2
Bscl2,Bscl2
Pglyrp3,Pglyrp3
Hspb3,Hspb3
Ndc1,Ndc1
Mdc1,Mdc1
Ddx51,Ddx51
Thpo,Thpo
Bdh1,Bdh1
Plaa,Plaa
Hspb6,Hspb6
Ankra2,Ankra2
Mettl27,Mettl27
Doc2g,Doc2g
Lin37,Lin37
C4b,C4b
